"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"MSS51",-0.498890152143846,5.09296040983607,-3.66109192359862,0.000307602823417569,0.0441011921568434,0.157019848291458,"Not Significant"
"TKT",-0.878814163208858,8.18437426229508,-3.65994052647432,0.000308915821780787,0.0441011921568434,0.153305469389696,"Not Significant"
"SDHD",-0.494346058091292,7.97438196721312,-3.65915130451287,0.000309818860664849,0.0441011921568434,0.150760058442245,"Not Significant"
"TCIM",1.09890409405256,6.92706631147541,3.65690170250914,0.000312406552409248,0.0441011921568434,0.143507284409244,"Upregulated"
"GEM",2.13068015214385,8.05487659836066,3.65473967914572,0.000314912677313804,0.0441011921568434,0.136540602285836,"Upregulated"
"TAL1",-0.601907040110653,4.91100012295082,-3.65126252768379,0.000318982996894388,0.0441011921568434,0.125343869081832,"Not Significant"
"XKR8",-0.560091203319503,5.95802516393443,-3.64820605167069,0.000322601746806981,0.0441011921568434,0.115509574315493,"Not Significant"
"PIGV",-0.485460138312581,6.80360196721311,-3.6481120504823,0.000322713651008368,0.0441011921568434,0.115207239023336,"Not Significant"
"DDT",-1.0384388658368,7.46364549180328,-3.64753487369794,0.000323401555782278,0.0441011921568434,0.113351021688353,"Downregulated"
"TPCN1",-0.772447911479945,7.73441606557377,-3.6420472740563,0.000330011251429868,0.0446306125487468,0.0957157918000044,"Not Significant"
"RPS9",-0.70791298755187,9.80579086065574,-3.61172990262812,0.000368879986488002,0.0494782958925383,-0.00128751366275015,"Not Significant"
"ACAD8",-0.5586514384509,6.89209389344262,-3.60112719539345,0.000383461297403703,0.0510159404123106,-0.0350413077640823,"Not Significant"
"BCL7C",-0.401104287690184,6.96764065573771,-3.59813452925213,0.000387673998419239,0.0510565390253382,-0.0445524638197226,"Not Significant"
"CLN8",-0.558710954356853,6.60967844262295,-3.59649062295072,0.000390006561853293,0.0510565390253382,-0.0497740502129318,"Not Significant"
"MARF1",-0.564808962655606,8.23408540983607,-3.59130226626368,0.000397455234673822,0.0516187100016065,-0.0662400086185118,"Not Significant"
"NOL9",-0.588809847856161,7.15332295081967,-3.58280633383057,0.000409941898552523,0.0523853703307899,-0.0931571813465881,"Not Significant"
"RXRB",-0.369401867219915,7.12380995901639,-3.57986274783822,0.000414353478420972,0.0523853703307899,-0.10246989451122,"Not Significant"
